type produit;numero AMM;nom produit;catégorie de condition d’emploi;condition d’emploi libelle;
PPP;2180347;APPLAUD STAR;Protection de l'opérateur;Condition: • pendant le mélange/chargement - Gants en nitrile certifiés EN 374-3 . - Combinaison de protection de catégorie III type 4 ou 3 (selon le niveau de protection recommandé pendant la phase d'application) . OU - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée . • pendant l'application : sans contact intense avec la végétation Culture basse (< 50 cm)  - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . - Bottes de protection certifiées EN 13 832-3 . Culture haute (> 50 cm)  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de protection de catégorie III type 4 avec capuche . - Bottes de protection certifiées EN 13 832-3 . • pendant l'application : contact intense avec la végétation, cultures hautes et basses  - Gants en nitrile certifiés EN 374-3 . - Combinaison de protection de catégorie III type 3 avec capuche.  - Bottes de protection certifiées EN 13 832-3 . • pendant le nettoyage du matériel de pulvérisation - Gants en nitrile certifiés EN 374-3 . - Combinaison de protection de catégorie III type 4 ou 3 (selon le niveau de protection recommandé pendant la phase d'application) . OU - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . - EPI partiel (blouse) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .;
PPP;2180347;APPLAUD STAR;Protection de l'opérateur;Condition: • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée.;
PPP;2180347;APPLAUD STAR;Autres mesures de protection;Condition: - Un délai d'un an est recommandé avant d'implanter des cultures destinées à l'alimentation humaine ou animale. ;
PPP;2180347;APPLAUD STAR;Environnement milieu;Condition: - SP 1 : Ne pas polluer l'eau avec le produit ou son emballage. Ne pas nettoyer le matériel d'application près des eaux de surface. Éviter la contamination via les systèmes d'évacuation des eaux à partir des cours de ferme ou des routes.;
PPP;2180347;APPLAUD STAR;Environnement faune;Condition: -Peut porter atteinte à la faune auxiliaire.;
PPP;2180347;APPLAUD STAR;Environnement faune;Condition: - Peut porter atteinte aux insectes pollinisateurs. Eviter toute exposition inutile.;
PPP;2180347;APPLAUD STAR;Conditions d'emploi du matériel utilisé;Condition: Des informations générales relatives aux bonnes pratiques de protection pourront être mises à disposition de l'utilisateur : -	l'utilisation d'un matériel adapté et entretenu et la mise en œuvre de protections collectives constituent la première mesure de prévention contre les risques professionnels, avant la mise en place de protections individuelles -	le port de combinaison de travail dédiée ou d'EPI doit être associé à des réflexes d'hygiène (ex : lavage des mains, douche en fin de traitement) et à un comportement rigoureux (ex : procédure d'habillage/déshabillage).  -	les modalités de nettoyage et de stockage des combinaisons de travail et des EPI réutilisables doivent être conformes à leur notice d'utilisation.;
PPP;2180347;APPLAUD STAR;Respect LMR;Condition:  - Un délai d'un an est recommandé avant d'implanter des cultures destinées à l'alimentation humaine ou animale. ;
PPP;2180347;APPLAUD STAR;Respect LMR;Condition: Pour chaque usage figurant dans la liste des usages autorisés, les conditions d'utilisation du produit permettent de respecter les limites maximales de résidus.;
PPP;8700542;SYGAN S;Environnement milieu;Condition: - SP 1 : Ne pas polluer l'eau avec le produit ou son emballage. [Ne pas nettoyer le matériel d'application près des eaux de surface. / Éviter la contamination via les systèmes d'évacuation des eaux à partir des cours de ferme ou des routes].;
PPP;8700542;SYGAN S;Environnement faune;Condition: - SPe 3 : Pour protéger les organismes aquatiques, respecter une zone non traitée de 50 mètres comportant un dispositif végétalisé permanent non traité d'une largeur de 20 mètres en bordure des points d'eau.;
PPP;8700542;SYGAN S;Protection de l'opérateur;Condition: • pendant le mélange/chargement - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant . - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée . - Lunettes ou écran facial certifié norme EN 166 (CE, sigle 3)  • pendant l'application - Pulvérisation vers le haut Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de protection de catégorie III type 4 avec capuche .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m2 ou plus avec traitement déperlant . - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par dessus la combinaison précitée . ;
